,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.eventId,Input.summaryId,Input.qIdList,Input.summary_text,Input.statement_1,Input.statement_2,Input.statement_3,Input.statement_4,Input.statement_5,Input.statement_6,Input.statement_7,Input.statement_8,Input.statement_9,Input.statement_10,Input.statement_11,Input.statement_12,Input.statement_13,Input.statement_14,Input.statement_15,Input.statement_16,Answer.S10Answer,Answer.S11Answer,Answer.S12Answer,Answer.S13Answer,Answer.S14Answer,Answer.S15Answer,Answer.S16Answer,Answer.S1Answer,Answer.S2Answer,Answer.S3Answer,Answer.S4Answer,Answer.S5Answer,Answer.S6Answer,Answer.S7Answer,Answer.S8Answer,Answer.S9Answer,Answer.feedback,Approve,Reject
12,3GONHBMNIZM1L7WK9BLRY6FG8P5ZMQ,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:58 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:58 PDT 2020,,,3U84XHCDIH1O3148U9QW1WU2LDAZ4R,APSP9NBS1JLLB,Submitted,2020-05-23 22:31:52,2020-05-23 22:32:56,Tue May 26 22:32:56 PDT 2020,,,,64,100% (4/4),100% (4/4),100% (4/4),cnndm4725,unilm_out_v1,"['528', '529', '530', '531', '532', '533', '534', '535', '536', '537', '538', '539', '540', '541', '542', '543']",Rory McIlroy battled with Fifty Shades of Grey star Jamie Dornan . The pair were taking part in the First Circular Soccer Showdown of 2015 . The 25 - year - old finished strongly following a slow start to finish an impressive fourth at the Masters . The World No 1 golfer is an avid Manchester United fan . He revealed last year he dreamed of playing for the Red Devils as a child .,Rory Mcilroy faced with Jamie Dornan.,Jamie Dornan was in fifty shades of Grey.,mcilroy and Dornan took part in the Circular Soccer Showdown.,It was the first circular soccer showdown of 2015.,Mcilroy finished strongly.,Mcilroy finished fourth.,Mcilroy played at the masters.,It Won't be too long before mcilroy wins a Masters .,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,p,p,p,n,n,{},,
13,3GONHBMNIZM1L7WK9BLRY6FG8P5ZMQ,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:58 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:58 PDT 2020,,,3YWRV122CXN803X00PH11GVSLHP8UG,A2WVY1WO8EBV8V,Submitted,2020-05-23 22:05:49,2020-05-23 22:07:47,Tue May 26 22:07:47 PDT 2020,,,,118,0% (0/0),0% (0/0),0% (0/0),cnndm4725,unilm_out_v1,"['528', '529', '530', '531', '532', '533', '534', '535', '536', '537', '538', '539', '540', '541', '542', '543']",Rory McIlroy battled with Fifty Shades of Grey star Jamie Dornan . The pair were taking part in the First Circular Soccer Showdown of 2015 . The 25 - year - old finished strongly following a slow start to finish an impressive fourth at the Masters . The World No 1 golfer is an avid Manchester United fan . He revealed last year he dreamed of playing for the Red Devils as a child .,Rory Mcilroy faced with Jamie Dornan.,Jamie Dornan was in fifty shades of Grey.,mcilroy and Dornan took part in the Circular Soccer Showdown.,It was the first circular soccer showdown of 2015.,Mcilroy finished strongly.,Mcilroy finished fourth.,Mcilroy played at the masters.,It Won't be too long before mcilroy wins a Masters .,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,p,p,n,n,{},,
14,3L84EBDQ4BQB6OXVOY51WEZZFBXKKK,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:58 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:58 PDT 2020,,,31QTRG6Q2Y1AN4GMW7G1QNWV6F5PYK,AHKYVHP6591H8,Submitted,2020-05-23 23:07:58,2020-05-23 23:09:58,Tue May 26 23:09:58 PDT 2020,,,,120,100% (31/31),100% (31/31),100% (31/31),cnndm5272,unilm_out_v1,"['1024', '1025', '1026', '1027', '1028', '1029', '1030', '1031', '1032', '1033', '1034', '1035', '1036', '1037', '1038', '1039']","Mary Ann Diano , 62 , was left homeless when Hurricane Sandy hit Staten Island . She didn't evacuate because there was nowhere where she could bring her cats . She lost everything in the storm - but in its aftermath she met the love of her life . She won the lottery last October after buying it from a gas station . But she decided not to cash it in .",Pair were left homeless.,Pair were left homeless after storms,Pair met in Connecticut Trailer Park.,Pair Won Lottery last year.,Pair cashed prize in after Easter to Mark New Start.,The lottery winner was thrilled.,The lottery winner said they met love of their life because of Sandy.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,{},,
15,3L84EBDQ4BQB6OXVOY51WEZZFBXKKK,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:58 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:58 PDT 2020,,,3W2LOLRXLG30FC7K5KJZMAHZ9IFKR7,A2WVY1WO8EBV8V,Submitted,2020-05-23 22:09:45,2020-05-23 22:11:09,Tue May 26 22:11:09 PDT 2020,,,,84,0% (0/0),0% (0/0),0% (0/0),cnndm5272,unilm_out_v1,"['1024', '1025', '1026', '1027', '1028', '1029', '1030', '1031', '1032', '1033', '1034', '1035', '1036', '1037', '1038', '1039']","Mary Ann Diano , 62 , was left homeless when Hurricane Sandy hit Staten Island . She didn't evacuate because there was nowhere where she could bring her cats . She lost everything in the storm - but in its aftermath she met the love of her life . She won the lottery last October after buying it from a gas station . But she decided not to cash it in .",Pair were left homeless.,Pair were left homeless after storms,Pair met in Connecticut Trailer Park.,Pair Won Lottery last year.,Pair cashed prize in after Easter to Mark New Start.,The lottery winner was thrilled.,The lottery winner said they met love of their life because of Sandy.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,n,n,p,n,n,{},,
17,39TX062QY5CBUQOV2BSR5MQZ0YQX3B,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:58 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:58 PDT 2020,,,3PH3VY7DJQL0C3NS4FWFWODT567ZWB,AHKYVHP6591H8,Submitted,2020-05-23 22:10:42,2020-05-23 22:22:08,Tue May 26 22:22:08 PDT 2020,,,,686,100% (31/31),100% (31/31),100% (31/31),cnndm9325,unilm_out_v1,"['992', '993', '994', '995', '996', '997', '998', '999', '1000', '1001', '1002', '1003', '1004', '1005', '1006', '1007']","Catholic Church figures show number of women becoming nuns has trebled from 15 in 2009 to 45 last year . From a low of seven in 2004 , the figure has been rising for the past decade . Theodora Hawksley , 29 , was until recently a post-doctoral researcher in theology at the University of Edinburgh . She joined the Congregation of Jesus in January and is now living in .",There are figures/numbers from the Catholic Church.,Figures/Numbers show more and more becoming nuns.,A number of women are taking holy vows.,The number of women taking holy vows stood at just seven sometime in the past.,The number of women taking holy vows was seven in 2004.,The number of women taking holy vows had risen to 15.,The number of women taking holy vows had had risen to 15 in 2009.,The number of women taking holy vows had risen to 45.,The number of women taking holy vows had had risen to 45 in the last year.,One father made a statement.,The statement was about the reason people are being led towards religion.,The statement cites ' gap in the market for meaning ' as reason for people being led towards religion,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,p,p,p,p,p,p,{},,
18,3QTFNPMJDA673PHKLC0RBL4GDFFZNQ,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:58 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:58 PDT 2020,,,30ZX6P7VFDJO08KH894MKN9EI172JJ,A12ATVBE1I4567,Submitted,2020-05-23 23:31:34,2020-05-23 23:48:42,Tue May 26 23:48:42 PDT 2020,,,,1028,0% (0/0),0% (0/0),0% (0/0),cnndm9502,unilm_out_v1,"['1008', '1009', '1010', '1011', '1012', '1013', '1014', '1015', '1016', '1017', '1018', '1019', '1020', '1021', '1022', '1023']","Nasr Bitar spotted Google Street View Car on streets of Mississauga , Canada . Started following in his own vehicle to get the ` selfie ' on the map .",Nasr Bitar spotted Google Street View car.,Nasr Bitar spotted Google Street View car driving around.,Nasr Bitar spotted Google Street View car last autumn.,Nasr Bitar decided it was ' his time to shine '.,Nasr Bitar followed in his car to get a selfie.,Nasr Bitar followed Google Street View car.,Nasr Bitar sensing the perfect moment in Mississauga.,Nasr Bitar got out and took the snap.,Picture of Nasr's selfie and the Street View Image was shared.,The image was shared 2.9 million times.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,n,n,n,p,p,n,n,n,{},,
19,3QTFNPMJDA673PHKLC0RBL4GDFFZNQ,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:58 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:58 PDT 2020,,,379J5II41T4MQEKX4EB023VVJTVELS,A2BCNRHZU9V7C4,Submitted,2020-05-23 22:18:48,2020-05-23 22:28:12,Tue May 26 22:28:12 PDT 2020,,,,564,0% (0/0),0% (0/0),0% (0/0),cnndm9502,unilm_out_v1,"['1008', '1009', '1010', '1011', '1012', '1013', '1014', '1015', '1016', '1017', '1018', '1019', '1020', '1021', '1022', '1023']","Nasr Bitar spotted Google Street View Car on streets of Mississauga , Canada . Started following in his own vehicle to get the ` selfie ' on the map .",Nasr Bitar spotted Google Street View car.,Nasr Bitar spotted Google Street View car driving around.,Nasr Bitar spotted Google Street View car last autumn.,Nasr Bitar decided it was ' his time to shine '.,Nasr Bitar followed in his car to get a selfie.,Nasr Bitar followed Google Street View car.,Nasr Bitar sensing the perfect moment in Mississauga.,Nasr Bitar got out and took the snap.,Picture of Nasr's selfie and the Street View Image was shared.,The image was shared 2.9 million times.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,n,n,p,p,n,n,n,{},,
20,3VLL1PIEOUCPLAHWMR04QA4L3PKZO5,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:59 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:59 PDT 2020,,,3U8YCDAGXU4YQLLGOCKHY0SLZYRQ0Q,A3PYB8Z6FFWSOV,Submitted,2020-05-24 02:14:52,2020-05-24 03:01:12,Wed May 27 03:01:12 PDT 2020,,,,2780,0% (0/0),0% (0/0),0% (0/0),cnndm4637,unilm_out_v1,"['1552', '1553', '1554', '1555', '1556', '1557', '1558', '1559', '1560', '1561', '1562', '1563', '1564', '1565', '1566', '1567']","Emergency crews received a call saying ` someone ' had been knocked down by a car . Two ambulances were sent to Epping Forest , Essex , after caller said ` victim ' was a squirrel . But the vehicle turned out to be a squirrel that had been run over . One man said he had dropped his burger and it was ` bleeding ' . Another Woman Called to .",East of England Ambulance Service warned about hoax calls,The Ambulance Service warned that hoax calls can cost lives,Woman reported someone had been run over,Actual victim in the incident reported by the woman was a squirrel,A man dialled 999.,The man reported that he dropped a burger,The man reported that the dropped burger was bleeding,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,n,p,p,n,n,{},,
22,3Y3N5A7N5KX1GHMFDPJ8KZ6E2V1MYM,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:59 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:59 PDT 2020,,,36U2A8VAG6N9CDJ6JFBTU6AWC5VYKO,A1A3J5IXCM8A7X,Submitted,2020-05-23 22:26:18,2020-05-23 22:27:49,Tue May 26 22:27:49 PDT 2020,,,,91,0% (0/0),0% (0/0),0% (0/0),cnndm3906,unilm_out_v1,"['1104', '1105', '1106', '1107', '1108', '1109', '1110', '1111', '1112', '1113', '1114', '1115', '1116', '1117', '1118', '1119']","Ronnie Carroll died two days after getting on the ballot paper for Hampstead and Kilburn . Due to stand as an independent , Mr Carroll was 80 and had contested elections before . He won 29 votes in the Haltemprice and Howden by - election - despite campaigning for a record score of 0 . Mr Carroll contested the 1962 and 1963 Eurovision Song Contest . The seat is the most marginal in England .",Ronnie Carroll placed fourth in the Eurovision contest.,Ronnie Carroll placed fourth in 1962.,Ronnie Carroll placed fourth in 1963.,Ronnie Carroll died in London.,Ronnie Carroll died two days ago.,Ronnie Carroll died at the age of 80.,Ronnie Carroll died following a battle with cancer,Ronnie Carroll was running in the general election.,The general election was for Hampstead and Kilburn.,Ronnie Carroll remains on the paper.,Ronnie Carroll will be elected if he gets enough votes.,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,n,p,n,p,p,{},,
25,3QREJ3J447LMQUFD9YH2BECE4B2KLN,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:59 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:59 PDT 2020,,,3TR2532VIUICI93IVBGPA0QQY62J6A,A12ATVBE1I4567,Submitted,2020-05-23 22:17:21,2020-05-23 22:41:36,Tue May 26 22:41:36 PDT 2020,,,,1455,0% (0/0),0% (0/0),0% (0/0),cnndm7058,unilm_out_v1,"['288', '289', '290', '291', '292', '293', '294', '295', '296', '297', '298', '299', '300', '301', '302', '303']",Real Madrid face Rayo Vallecano in La Liga on Wednesday night . Cristiano Ronaldo scored five goals against Granada at the weekend . The 30 - year - old moved above Lionel Messi in the race for the Pichichi Trophy . Mundo Deportivo looks ahead to Barcelona's clash with Almeria on Wednesday . Juventus ` Coppa Italia semi-final win over Fiorentina continues . Paris Saint - Germain Forward Edinson Cavani is being linked with A.,Real Madrid played Granada.,Real Madrid played at the Weekend.,Granada played at the weekend.,Real Madrid beat Granada.,Real Madrid beat Granada 9 - 1.,Cristiano Ronaldo scored five.,Cristiano Ronaldo's tally is 36 for the season.,Real travel to Rayo Vallecano.,Real play on Wednesday night.,Rayo Vallecano play on Wednesday night.,Juventus played Fiorentina.,Juventus beat Fiorentina 3 - 0.,Juventus reach Coppa Italia Final.,Juventus reach Coppa Italia Final on Tuesday.,BLANK,BLANK,n,p,n,p,n,n,n,p,p,p,n,n,p,n,p,p,{},,
26,3YLPJ8OXYC1WCM7Z2PXAFRI5EYMX4W,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:59 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:59 PDT 2020,,,323Q6SJS8N4CAW1384G8STNOED2FH5,A2WVY1WO8EBV8V,Submitted,2020-05-23 22:24:18,2020-05-23 22:25:32,Tue May 26 22:25:32 PDT 2020,,,,74,0% (0/0),0% (0/0),0% (0/0),cnndm5912,unilm_out_v1,"['464', '465', '466', '467', '468', '469', '470', '471', '472', '473', '474', '475', '476', '477', '478', '479']",Police say they have no objections to the 4 pm kick - off for Sunday's Derby . Chief Superintendent John o ` Hare says the decision is down to good behaviour from supporters . Manchester United and City meet in the Premier League on Sunday . The last late - afternoon kick off was for a 0 - 0 draw at Old Trafford in 2004 . Click Here for Manchester United vs City Transfer News .,Manchester United take on Manchester City.,The match is going to take place on Sunday.,The match will begin at 4 pm.,The match will take place at Old Trafford Home.,Police have no objections to the kick-off being late in the afternoon.,34 fans were arrested at Wembley.,The fans were arrested in 2011.,The fans were arrested in FA Cup semi-final.,The fans were arrested in the last late afternoon weekend kick-off.,The fans were arrested in the last late afternoon weekend kick-off in the Manchester Derby.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,p,n,n,n,n,{},,
27,3YLPJ8OXYC1WCM7Z2PXAFRI5EYMX4W,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:59 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:59 PDT 2020,,,3G5W44VEUC69QMY6P9PNN63S796KGD,A101U3FTZYY87V,Submitted,2020-05-23 22:33:13,2020-05-23 22:34:12,Tue May 26 22:34:12 PDT 2020,,,,59,100% (2/2),100% (2/2),100% (2/2),cnndm5912,unilm_out_v1,"['464', '465', '466', '467', '468', '469', '470', '471', '472', '473', '474', '475', '476', '477', '478', '479']",Police say they have no objections to the 4 pm kick - off for Sunday's Derby . Chief Superintendent John o ` Hare says the decision is down to good behaviour from supporters . Manchester United and City meet in the Premier League on Sunday . The last late - afternoon kick off was for a 0 - 0 draw at Old Trafford in 2004 . Click Here for Manchester United vs City Transfer News .,Manchester United take on Manchester City.,The match is going to take place on Sunday.,The match will begin at 4 pm.,The match will take place at Old Trafford Home.,Police have no objections to the kick-off being late in the afternoon.,34 fans were arrested at Wembley.,The fans were arrested in 2011.,The fans were arrested in FA Cup semi-final.,The fans were arrested in the last late afternoon weekend kick-off.,The fans were arrested in the last late afternoon weekend kick-off in the Manchester Derby.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,p,n,n,n,n,{},,
29,3GONHBMNIZM1L7WK9BLRY6FG8P5MZD,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:59 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:59 PDT 2020,,,3STRJBFXO1FDVRKC99OUMPIHX3BTKS,A1A3J5IXCM8A7X,Submitted,2020-05-23 21:56:47,2020-05-23 21:59:03,Tue May 26 21:59:03 PDT 2020,,,,136,0% (0/0),0% (0/0),0% (0/0),cnndm11264,unilm_out_v1,"['1344', '1345', '1346', '1347', '1348', '1349', '1350', '1351', '1352', '1353', '1354', '1355', '1356', '1357', '1358', '1359']","Margrethe Vestager , the EU's Competition Commissioner , Will Today serve the company with a formal charge sheet alleging that it breached anti-trust rules . Google currently boasts a 90 per cent share in Europe's search engine market . Ruling is the result of a five - year investigation into the American search giant . It means Google may ultimately have to change its business model and pay multi-billion pound .",The European Union will accuse Google,Google will be accused of illegally abusing its supremacy,The European Union could find Google,The fine could be more than 4 billion,The fine could be 10 per cent of Google's annual revenue,Brussels to say Google uses search engine  to divert traffic,The traffic is diverted to Google's own services,Google boasts a 90 percent share in Europe's search engine market,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,n,n,p,n,n,n,p,n,{},,
31,3RQVKZ7ZSO7SUTMLGYAOSD8JSRC27B,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:59 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:59 PDT 2020,,,3VW6495TLOO4WI8NNUCK3EP7AK3YYI,A2WNW8A4MOR7T7,Submitted,2020-05-23 22:08:37,2020-05-23 22:18:10,Tue May 26 22:18:10 PDT 2020,,,,573,0% (0/0),0% (0/0),0% (0/0),cnndm1017,unilm_out_v1,"['144', '145', '146', '147', '148', '149', '150', '151', '152', '153', '154', '155', '156', '157', '158', '159']","Anuradha Koirala , the 2010 CNN Hero of the Year , has a rehab center in Kathmandu , Nepal . She has offered to take in 200 other girls orphaned by the disaster . Another CNN hero , Pushpa Basnet , and 45 children she cares for are now living on the ground in a nearby field . '' I was not afraid that I was going to be killed .",Anuradha Koirala has been sleeping outdoors.,425/many young women and girls have been sleeping outdoors.,Many people have been sleeping outdoors because of aftershocks.,Pushpa Basnet was forced to evacuate her residence.,Pushpa Basnet cares for 45 children.,The children were forced to evacuate their residence.,Anuradha Koirala was a CNN Hero.,Pushpa Basnet was a CNN Hero.,Seven other CNN Heros were now assisting relief efforts.,The organizations of CNN Heros were now assisting relief efforts.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,n,p,n,p,p,n,{},,
32,3UEBBGULQJCETYATH1I6MOGS96EUFP,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:59 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:59 PDT 2020,,,3TDXMTX3CGIGNYJCDTVPYZBQLRKI64,A12ATVBE1I4567,Submitted,2020-05-23 23:46:28,2020-05-24 00:15:23,Wed May 27 00:15:23 PDT 2020,,,,1735,0% (0/0),0% (0/0),0% (0/0),cnndm10368,unilm_out_v1,"['1312', '1313', '1314', '1315', '1316', '1317', '1318', '1319', '1320', '1321', '1322', '1323', '1324', '1325', '1326', '1327']",Rory McIlroy is looking to complete a career Grand Slam with victory at the Masters . The 25 - year - old is aiming to win the green jacket for the first time in his career . Only five men have won all four of golf's majors in the Masters era .,Rory Mcilroy is bidding to win a Masters title,This will be the first Masters title in Rory Mcilroy's career,The Masters competition will take place in Augusta,Rory Mcilroy is a Northern Irishman,Rory Mcilroy finished eighth in Georgia,Rory Mcilroy played last year,Rory Mcilroy played in Georgia,Rory Mcilroy won the Open last year,Rory Mcilroy won the USPGA championship last year,Rory Mcilroy is looking for third straight major victory,Niall Horan is a one direction star,Niall Horan caddied for Rory Mcilroy,Rory Mcilroy was in a contest on Wednesday,Rory Mcilroy scored par - 3 in the contest,BLANK,BLANK,n,n,n,n,n,n,n,p,p,n,n,n,n,n,n,n,{},,
33,3UEBBGULQJCETYATH1I6MOGS96EUFP,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:59 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:59 PDT 2020,,,3TEM0PF1QAL41CHBJQEXY1LMGJX0DQ,A3PYB8Z6FFWSOV,Submitted,2020-05-24 00:47:56,2020-05-24 00:49:41,Wed May 27 00:49:41 PDT 2020,,,,105,0% (0/0),0% (0/0),0% (0/0),cnndm10368,unilm_out_v1,"['1312', '1313', '1314', '1315', '1316', '1317', '1318', '1319', '1320', '1321', '1322', '1323', '1324', '1325', '1326', '1327']",Rory McIlroy is looking to complete a career Grand Slam with victory at the Masters . The 25 - year - old is aiming to win the green jacket for the first time in his career . Only five men have won all four of golf's majors in the Masters era .,Rory Mcilroy is bidding to win a Masters title,This will be the first Masters title in Rory Mcilroy's career,The Masters competition will take place in Augusta,Rory Mcilroy is a Northern Irishman,Rory Mcilroy finished eighth in Georgia,Rory Mcilroy played last year,Rory Mcilroy played in Georgia,Rory Mcilroy won the Open last year,Rory Mcilroy won the USPGA championship last year,Rory Mcilroy is looking for third straight major victory,Niall Horan is a one direction star,Niall Horan caddied for Rory Mcilroy,Rory Mcilroy was in a contest on Wednesday,Rory Mcilroy scored par - 3 in the contest,BLANK,BLANK,n,n,n,n,n,n,n,p,p,n,n,n,n,n,n,n,{},,
34,3QD8LUVX51ME85BZGUGKKJOJEUHX51,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:59 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:59 PDT 2020,,,30MVJZJNHR1Z0S5GTIJ1UAHSO7A9JB,A12ATVBE1I4567,Submitted,2020-05-23 22:17:56,2020-05-23 22:42:02,Tue May 26 22:42:02 PDT 2020,,,,1446,0% (0/0),0% (0/0),0% (0/0),cnndm9709,unilm_out_v1,"['1296', '1297', '1298', '1299', '1300', '1301', '1302', '1303', '1304', '1305', '1306', '1307', '1308', '1309', '1310', '1311']","In all 1,177 barrio 18 members were transferred from Izalco Jail to San Francisco Gotera . They will mix with rivals from the hyper - violent Mara Salvatrucha gang , or M13 . They will all be classified not by their gang affiliation , but by how dangerous they are . The policy of mixing the gangs together came about when officials realised that gangs were directing criminal activity from within prison .",Members of Barrio 18 gang were handcuffed,Members of Barrio 18 gang were marched onto buses,Images show the members,Members of Barrio 18 gang were transferred to a different jail,Total 1177 members were transferred,"In the different jail, the members will mix with Mara Salvatrucha/their arch rival",The arch rival of the members of Barrio 18 gang is Mara Salvatrucha,The gang members will not be classified by gang affiliation,The gang members will now be classified by how dangerous they are,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,p,p,p,n,p,p,{},,
